ID,quality-score,pixels added through insertion/deletion,total number of changed pixels,pixels total in original,changed pixels as percent of pixels in original,number of pixels in bigger image,changed pixels as percent of pixels in bigger image,insertion-deletion-error,total-number-of-changed-pixels,pixels-total-in-original,changed-pixels-as-percent-of-pixels-in-original,number-of-pixels-in-bigger-image,changed-pixels-as-percent-of-pixels-in-bigger-image,count,shifts total,shiftsToTop,shiftsToTopRight,shiftsToRight,shiftsToBottomRight,shiftsToBottom,shiftsToBottomLeft,shiftsToLeft,shiftsToTopLeft,small shifts total,small shiftsToTop,small shiftsToTopRight,small shiftsToRight,small shiftsToBottomRight,small shiftsToBottom,small shiftsToBottomLeft,small shiftsToLeft,small shiftsToTopLeft,big shifts total,big shiftsToTop,big shiftsToTopRight,big shiftsToRight,big shiftsToBottomRight,big shiftsToBottom,big shiftsToBottomLeft,big shiftsToLeft,big shiftsToTopLeft
79,2,21856,948702,10235438,9.268797,10257294,9.249047,0,904845,10235438,8.840315,10235438,8.840315,1176,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0
80,2,584648,3695636,4813784,76.77195,4813784,76.77195,0,3241611,4813784,67.34018,4813784,67.34018,373,31,5,0,0,1,24,0,0,1,7,0,0,0,1,6,0,0,0,23,5,0,0,0,18,0,0,0
81,1,0,11538,1943818,0.5935741,1943818,0.5935741,0,11538,1943818,0.5935741,1943818,0.5935741,426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,1,0,6588,3037984,0.21685433,3037984,0.21685433,0,6588,3037984,0.21685433,3037984,0.21685433,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1,0,91828,3932714,2.3349779,3932714,2.3349779,0,91828,3932714,2.3349779,3932714,2.3349779,982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1,1366,1366,1243060,0.10989011,1244426,0.109769486,0,0,1243060,0.0,1243060,0.0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1,1366,1366,3442320,0.03968254,3443686,0.039666798,0,0,3442320,0.0,3442320,0.0,477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1,1366,1366,1243060,0.10989011,1244426,0.109769486,0,0,1243060,0.0,1243060,0.0,696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1,0,175763,20658018,0.8508222,20658018,0.8508222,0,175763,20658018,0.8508222,20658018,0.8508222,558,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
92,1,0,16836,3995550,0.42136878,3995550,0.42136878,0,16836,3995550,0.42136878,3995550,0.42136878,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1,0,301,997180,0.030185122,997180,0.030185122,0,301,997180,0.030185122,997180,0.030185122,735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,3,12687408,14225067,16125630,88.21403,16125630,88.21403,0,14225067,16125630,88.21403,16125630,88.21403,1054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1,8196,132959,1688376,7.8749638,1688376,7.8749638,0,116095,1688376,6.8761344,1688376,6.8761344,409,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0
98,1,8196,131095,1688376,7.764562,1688376,7.764562,0,110481,1688376,6.5436254,1688376,6.5436254,370,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,6,0,0,0
99,1,0,22263,2357716,0.9442613,2357716,0.9442613,0,22263,2357716,0.9442613,2357716,0.9442613,509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1,0,0,1390588,0.0,1390588,0.0,0,0,1390588,0.0,1390588,0.0,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1,0,0,1390588,0.0,1390588,0.0,0,0,1390588,0.0,1390588,0.0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1,0,2553,3014762,0.0846833,3014762,0.0846833,0,2553,3014762,0.0846833,3014762,0.0846833,820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2,0,180540,2122764,8.50495,2122764,8.50495,0,180540,2122764,8.50495,2122764,8.50495,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1,0,2651,1292236,0.20514828,1292236,0.20514828,0,2651,1292236,0.20514828,1292236,0.20514828,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,1,0,6796809,22380544,30.369274,22380544,30.369274,0,1801084,22380544,8.047544,22380544,8.047544,4350,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,304,0,0,0,0,0,0,0
108,1,60104,274186,3430026,7.9937005,3430026,7.9937005,0,133244,3430026,3.8846352,3430026,3.8846352,327,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,22,0,0,0,0,0,0,0
109,1,0,2653,1292236,0.20530306,1292236,0.20530306,0,2653,1292236,0.20530306,1292236,0.20530306,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,1,0,120467,3995550,3.0150292,3995550,3.0150292,0,120467,3995550,3.0150292,3995550,3.0150292,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,1,0,44902,3966864,1.1319269,3966864,1.1319269,0,44902,3966864,1.1319269,3966864,1.1319269,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,1,0,35592,3165022,1.124542,3165022,1.124542,0,35592,3165022,1.124542,3165022,1.124542,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,1,0,9357,4804222,0.1947662,4804222,0.1947662,0,9357,4804222,0.1947662,4804222,0.1947662,1655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,331938,644219,5690756,11.320447,5690756,11.320447,0,490239,5690756,8.6146555,5690756,8.6146555,564,17,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0,0,0
118,1,0,17939,3331674,0.538438,3331674,0.538438,0,17939,3331674,0.538438,3331674,0.538438,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,2,0,153684,2988808,5.141983,2988808,5.141983,0,153684,2988808,5.141983,2988808,5.141983,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
